"Family","variable","ES_formatted","interpretation","Sig_FDR","p_val","p_fdr"
"Beliefs_COMB","pharmacistC","d = +0.12 [-0.09, 0.34]","Negligible","",0.330739497054273,0.377987996633454
"Psychological_Individual_Differences","BFI_Agreeableness","d = +0.12 [-0.10, 0.33]","Negligible","",0.283438932667403,0.503891435853161
"Psychological_Individual_Differences","DBAS_Worry_Helplessness","d = -0.11 [-0.33, 0.10]","Negligible","",0.35094821150758,0.561517138412128
"Clinical","n_ment_conditions","d = -0.10 [-0.32, 0.11]","Negligible","",0.325245409155033,0.643865181803804
"Clinical","n_health_conditions","d = -0.10 [-0.32, 0.11]","Negligible","",0.375588022718886,0.643865181803804
"Sleep_Adverse","alc_sleep","V = 0.08 [0.00, 0.18]","Negligible","",0.589357694320654,0.88403654148098
"Demographics","age","d = -0.08 [-0.29, 0.13]","Negligible","",0.451578513596396,0.858730338214639
"Beliefs_COMB","prescriberC","d = -0.08 [-0.30, 0.13]","Negligible","",0.514954889067669,0.514954889067669
"Psychological_Individual_Differences","BFI_Neuroticism","d = -0.08 [-0.29, 0.14]","Negligible","",0.473129288073657,0.688188055379865
"Demographics","prov_terr","V = 0.07 [0.00, 0.17]","Negligible","",0.509415901281637,0.858730338214639
"Demographics","employment","V = 0.07 [0.00, 0.17]","Negligible","",0.13659949601635,0.858730338214639
"Psychological_Individual_Differences","DBAS_Expectations","d = +0.07 [-0.14, 0.28]","Negligible","",0.554712247861866,0.739616330482488
"Clinical","gen_health","V = 0.07 [0.00, 0.16]","Negligible","",0.733596132585225,0.804589206873855
"Demographics","driving_freq","V = 0.07 [0.00, 0.16]","Negligible","",0.613378813010457,0.858730338214639
"Clinical","bzra_daily_diazepam_eq","d = -0.06 [-0.28, 0.15]","Negligible","",0.531902804860683,0.797854207291024
"Demographics","income","V = 0.06 [0.00, 0.16]","Negligible","",0.810727457858594,0.907709518243434
"Sleep_Adverse","op_sleep","V = 0.06 [0.00, 0.16]","Negligible","",0.815182628100585,0.892300247350958
"Clinical","fall2","V = 0.06 [0.00, 0.15]","Negligible","",0.737540106301034,0.804589206873855
"Sleep_Adverse","can_sleep","V = 0.05 [0.00, 0.15]","Negligible","",0.892300247350958,0.892300247350958
"Clinical","n_physical_conditions","d = -0.04 [-0.26, 0.17]","Negligible","",0.709777923890702,0.804589206873855
"Demographics","education","V = 0.04 [0.00, 0.14]","Negligible","",0.383235706824856,0.858730338214639
"Clinical","osss_3_score","d = -0.02 [-0.23, 0.20]","Negligible","",0.869828004902717,0.869828004902717
"Psychological_Individual_Differences","CISS_Task","d = -0.02 [-0.23, 0.20]","Negligible","",0.881436389306445,0.983245596467576
"Psychological_Individual_Differences","CISS_Avoidance","d = -0.01 [-0.23, 0.20]","Negligible","",0.91151974063086,0.983245596467576
"Psychological_Individual_Differences","SURPS_Impulsivity","d = -0.01 [-0.23, 0.20]","Negligible","",0.921792746688352,0.983245596467576
"Demographics","sex","V = 0.01 [0.00, 0.10]","Negligible","",0.907709518243434,0.907709518243434
"Psychological_Individual_Differences","BFI_Conscientiousness","d = +0.00 [-0.21, 0.21]","Negligible","",0.992814797254088,0.992814797254088
