"","stopped_bzra","DBAS_Medications","SURPS_Hopelessness","CISS_Emotion","DBAS_Consequences","BFI_Conscientiousness","BFI_Neuroticism","SURPS_Sensation_Seeking","capabilityC","side_effectsC","c_lengthofuse","bzra_daily_diazepam_eq","dependenceC","n_sleep_conditions","wdl_symptom_count","stop_wdl_exp_combined","adlsC","DBAS_Worry_Helplessness","DBAS_Expectations","DBAS_Total","CISS_Task","CISS_Avoidance","BFI_Extraversion","BFI_Agreeableness","BFI_Openness","SURPS_Impulsivity","SURPS_Anxiety_Sensitivity","benefitsC","motivationC","gen_health","osss_3_score","phq2_score","med_quant"
"bzra_daily_diazepam_eq","r","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ",,,,,,,,,,,,,,,,,,,,,
"dependenceC","r","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ",,,,,,,,,,,,,,,,,,,,
"n_sleep_conditions","r","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ",,,,,,,,,,,,,,,,,,,
"wdl_symptom_count","r","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ",,,,,,,,,,,,,,,,,,
"stop_wdl_exp_combined","V","η","η","η","η","η","η","η","η","η","η","η","η","η","η","ρ",,,,,,,,,,,,,,,,,
"adlsC","r","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","η","ρ",,,,,,,,,,,,,,,,
"DBAS_Worry_Helplessness","r","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","η","ρ","ρ",,,,,,,,,,,,,,,
"DBAS_Expectations","r","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","η","ρ","ρ","ρ",,,,,,,,,,,,,,
"DBAS_Total","r","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","η","ρ","ρ","ρ","ρ",,,,,,,,,,,,,
"CISS_Task","r","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","η","ρ","ρ","ρ","ρ","ρ",,,,,,,,,,,,
"CISS_Avoidance","r","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","η","ρ","ρ","ρ","ρ","ρ","ρ",,,,,,,,,,,
"BFI_Extraversion","r","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","η","ρ","ρ","ρ","ρ","ρ","ρ","ρ",,,,,,,,,,
"BFI_Agreeableness","r","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","η","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ",,,,,,,,,
"BFI_Openness","r","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","η","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ",,,,,,,,
"SURPS_Impulsivity","r","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","η","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ",,,,,,,
"SURPS_Anxiety_Sensitivity","r","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","η","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ",,,,,,
"benefitsC","r","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","η","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ",,,,,
"motivationC","r","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","η","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ",,,,
"gen_health","r","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","η","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ",,,
"osss_3_score","r","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","η","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ",,
"phq2_score","r","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","η","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ",
"med_quant","r","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","η","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ"
